
Date        West     East     DMI(=West-East)
1911:2:16:0 -0.502763 -0.201069 -0.301693
1911:3:16:0 -0.288692 0.269019 -0.557711
1911:4:16:0 -0.560743 -0.0309315 -0.529812
1911:5:16:0 -0.302066 -0.0997068 -0.202359
1911:6:16:0 -0.650157 -0.0592217 -0.590935
1911:7:16:0 -0.577919 -0.135645 -0.442274
1911:8:16:0 -0.336199 -0.0597991 -0.2764
1911:9:16:0 -0.388079 -0.245136 -0.142943
1911:10:16:0 -0.415852 -0.149109 -0.266742
1911:11:16:0 -0.219234 -0.262525 0.0432919
1911:12:16:0 -0.171897 -0.253354 0.081457
1912:1:16:0 -0.165432 -0.0920496 -0.0733821
1912:2:16:0 -0.15633 -0.0450612 -0.111269
1912:3:16:0 -0.20138 -0.312023 0.110642
1912:4:16:0 -0.0237353 0.0287757 -0.052511
1912:5:16:0 -0.121537 -0.284008 0.162471
1912:6:16:0 0.0188296 -0.199534 0.218364
1912:7:16:0 -0.302864 0.0403946 -0.343258
1912:8:16:0 -0.255925 0.197059 -0.452984
1912:9:16:0 -0.205359 0.12088 -0.326239
1912:10:16:0 -0.2278 -0.0215196 -0.20628
1912:11:16:0 -0.439833 0.0111868 -0.451019
1912:12:16:0 -0.446194 -0.186555 -0.259639
